일자,지역,문화취미-영화관,숙박,약국,연료,유통업영리 - 편의점,일반휴게,학원,기타,전체금액
2026-06-01,인천광역시 강화군,0,1748300,16012570,78413368,31999477,87738789,41164950,184231293,441308747
2026-06-02,인천광역시 강화군,0,1553050,11205740,74590594,31436550,105384709,35546000,206466003,466182646
2026-06-03,인천광역시 강화군,5000,235550,3833440,78523851,32306100,172989718,9065900,227053077,524012636
2026-06-04,인천광역시 강화군,0,1017600,11508920,61138236,28991400,83262654,17089450,163969977,366978237
2026-06-05,인천광역시 강화군,0,2077700,12965258,71043321,30304710,111550211,30594100,203425589,461960889
2026-06-06,인천광역시 강화군,0,2273900,4355050,79702669,37400080,197967774,12540750,245683412,579923635
2026-06-07,인천광역시 강화군,2000,1280400,1498550,62868965,26735020,127217635,4631100,161392321,385625991
2026-06-08,인천광역시 강화군,0,636800,13669310,62912283,26686365,82979906,13045850,168944293,368874807
2026-06-09,인천광역시 강화군,0,578400,10401200,67335842,24401500,88889920,15064200,164250093,370921155
2026-06-10,인천광역시 강화군,0,110750,9342290,63882576,27078660,89645307,9672250,146489772,346221605
2026-06-11,인천광역시 강화군,0,500800,9751960,64577351,27400490,88149723,9397450,166696173,366473947
2026-06-12,인천광역시 강화군,0,549200,10336440,70823399,27444550,102976818,7911550,182716822,402758779
2026-06-13,인천광역시 강화군,0,1656500,7986100,72704067,32718270,171980781,7407000,220505600,514958318
2026-06-14,인천광역시 강화군,0,1680300,1193400,57792241,28923790,146338095,2327400,143249029,381504255
2026-06-15,인천광역시 강화군,0,542100,9546030,62775172,27671757,79922990,12068050,136569002,329095101
2026-06-16,인천광역시 강화군,0,408100,10191110,62765099,24792755,86711529,4819100,141991825,331679518
2026-06-17,인천광역시 강화군,0,168500,8689890,58038358,26009540,88570880,7974500,146956676,336408344
2026-06-18,인천광역시 강화군,24000,831200,8410900,82075155,25615490,84772784,6575850,142020368,350325747
2026-06-19,인천광역시 강화군,0,1203000,8553500,73931744,27343490,91773621,9666550,149859997,362331902
2026-06-20,인천광역시 강화군,0,1204200,7176260,60986219,27524550,148355335,4084800,176535675,425867039
2026-06-21,인천광역시 강화군,0,1343100,808000,57059202,24492762,139265851,3275450,146399242,372643607
2026-06-22,인천광역시 강화군,0,321700,9250760,52023034,23059310,77531487,5921400,142330773,310438464
2026-06-23,인천광역시 강화군,0,161500,8450160,48447877,22897560,73852407,6068350,127266347,287144201
2026-06-24,인천광역시 강화군,0,611200,8107100,48305288,20919150,78058634,6875250,127075944,289952566
2026-06-25,인천광역시 강화군,0,145000,8180810,41908182,21071846,80551652,7758050,125881822,285497362
2026-06-26,인천광역시 강화군,0,413400,8219913,50973429,25790490,91224500,10696250,144007775,331325757
2026-06-27,인천광역시 강화군,0,2054950,6544330,50971597,31604806,166600860,5662000,193391238,456829781
2026-06-28,인천광역시 강화군,0,737750,1202800,43795279,23070920,127902320,4588600,128660269,329957938
2026-06-29,인천광역시 강화군,0,521000,11343070,42106972,23898380,71760465,12796500,138715006,301141393
2026-06-30,인천광역시 강화군,0,470200,8400390,51205403,25444720,75541294,19232539,140474703,320769249
2026-06-01,인천광역시 계양구,0,2882500,72220408,160695961,94998340,247411251,330182070,874100418,1782490948
2026-06-02,인천광역시 계양구,0,1004000,59969375,150241886,94693424,329461999,227428000,823092205,1685890889
2026-06-03,인천광역시 계양구,0,1245300,23698710,168504769,94357733,452138401,74538000,799812500,1614295413
2026-06-04,인천광역시 계양구,0,1038000,57746297,132833157,85705106,247877768,175561840,675102291,1375864459
2026-06-05,인천광역시 계양구,0,1711900,65134895,173629624,93218872,369024957,178842031,892134613,1773696892
2026-06-06,인천광역시 계양구,0,1373200,19862030,173713504,88746230,460056764,53934683,780142056,1577828467
2026-06-07,인천광역시 계양구,0,754900,8582364,148812451,81528912,355540622,31642880,521131718,1147993847
2026-06-08,인천광역시 계양구,0,572000,73683495,148094981,85713230,248748251,140090583,714931647,1411834187
