시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
가평군,202604,68,4384,4565
가평군,202603,57,4893,4359
가평군,202602,53,3447,3573
가평군,202601,89,4374,3660
가평군,202512,65,2380,2635
가평군,202511,59,3026,3225
가평군,202510,111,2555,3290
가평군,202509,287,6664,4224
가평군,202508,194,2927,2758
가평군,202507,509,3131,2793
가평군,202506,215,3035,2942
가평군,202505,261,3141,3109
가평군,202504,388,3063,3038
가평군,202503,860,3002,3008
가평군,202502,837,2655,2614
가평군,202501,690,2717,2638
가평군,202412,641,2796,3324
가평군,202411,633,2785,2511
가평군,202410,752,2667,2962
가평군,202409,614,2628,1780
가평군,202408,658,2634,1900
가평군,202407,678,2470,2204
가평군,202406,719,2364,1311
가평군,202405,543,2520,1529
가평군,202404,663,2448,1386
가평군,202403,587,2344,1367
가평군,202402,547,2178,602
가평군,202401,552,2154,1667
고양시,202604,3485,7746,7703
고양시,202603,3638,8454,8577
고양시,202602,3287,7382,7296
고양시,202601,4075,7500,7986
고양시,202512,6154,9758,9530
고양시,202511,4522,9055,8895
고양시,202510,4890,6986,6924
고양시,202509,5197,6407,6090
고양시,202508,8496,8481,7095
고양시,202507,13051,9653,3106
고양시,202506,2489,399,1067
고양시,202505,2398,446,1355
고양시,202504,2852,587,1776
고양시,202503,3549,647,2600
고양시,202502,4527,745,3502
고양시,202501,4713,901,6403
고양시,202412,4709,11381,12555
고양시,202411,5880,13886,12311
고양시,202410,7389,10485,11758
고양시,202409,6633,16462,11277
고양시,202408,5088,10091,9543
고양시,202407,4310,10110,8808
고양시,202406,3127,10296,7635
고양시,202405,3331,7843,3789
고양시,202404,2515,654,819
고양시,202403,2400,727,2498
고양시,202402,3021,864,3472
고양시,202401,3827,1264,6727
과천시,202604,783,2438,3479
과천시,202603,1073,3741,6305
과천시,202602,794,7137,5336
과천시,202601,926,3261,5533
과천시,202512,986,7457,6454
과천시,202511,1102,6903,6962
과천시,202510,997,6458,4932
과천시,202509,1207,5628,4541
과천시,202508,1398,3298,3718
과천시,202507,1955,5369,4282
과천시,202506,649,2637,3848
과천시,202505,713,3003,4405
